{'deploy': True, 'tag': '01_prelim_v2/lr', 'seed': 10, 'device': 'cuda:0', 'reps': 10, 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': True}, 'task': {'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target': 0, 'ood': [4], 'augment': True, 'n': 50, 'm_n': 0, 'beta': 0.5, 'custom_sampler': True}, 'hp': {'epochs': 100, 'bs': 32, 'lr': 0.1}, 'net': 'conv'}
Files already downloaded and verified
Files already downloaded and verified
{'epoch': 1, 'train_loss': 2.3539, 'train_acc': 0.41, 'task_loss': (2.3539, 0.0)}
{'epoch': 2, 'train_loss': 1.2494, 'train_acc': 0.57, 'task_loss': (1.2494, 0.0)}
{'epoch': 3, 'train_loss': 0.5262, 'train_acc': 0.69, 'task_loss': (0.5262, 0.0)}
{'epoch': 4, 'train_loss': 0.4089, 'train_acc': 0.68, 'task_loss': (0.4089, 0.0)}
{'epoch': 5, 'train_loss': 0.4146, 'train_acc': 0.63, 'task_loss': (0.4146, 0.0)}
{'epoch': 6, 'train_loss': 0.2779, 'train_acc': 0.82, 'task_loss': (0.2779, 0.0)}
{'epoch': 7, 'train_loss': 0.349, 'train_acc': 0.73, 'task_loss': (0.349, 0.0)}
{'epoch': 8, 'train_loss': 0.3274, 'train_acc': 0.71, 'task_loss': (0.3274, 0.0)}
{'epoch': 9, 'train_loss': 0.3533, 'train_acc': 0.78, 'task_loss': (0.3533, 0.0)}
{'epoch': 10, 'train_loss': 0.3334, 'train_acc': 0.74, 'task_loss': (0.3334, 0.0)}
{'epoch': 11, 'train_loss': 0.2239, 'train_acc': 0.84, 'task_loss': (0.2239, 0.0)}
{'epoch': 12, 'train_loss': 0.2253, 'train_acc': 0.8, 'task_loss': (0.2253, 0.0)}
{'epoch': 13, 'train_loss': 0.3259, 'train_acc': 0.75, 'task_loss': (0.3259, 0.0)}
{'epoch': 14, 'train_loss': 0.2275, 'train_acc': 0.8, 'task_loss': (0.2275, 0.0)}
{'epoch': 15, 'train_loss': 0.2017, 'train_acc': 0.83, 'task_loss': (0.2017, 0.0)}
{'epoch': 16, 'train_loss': 0.2264, 'train_acc': 0.86, 'task_loss': (0.2264, 0.0)}
{'epoch': 17, 'train_loss': 0.1905, 'train_acc': 0.87, 'task_loss': (0.1905, 0.0)}
{'epoch': 18, 'train_loss': 0.303, 'train_acc': 0.75, 'task_loss': (0.303, 0.0)}
{'epoch': 19, 'train_loss': 0.3195, 'train_acc': 0.75, 'task_loss': (0.3195, 0.0)}
{'epoch': 20, 'train_loss': 0.227, 'train_acc': 0.84, 'task_loss': (0.227, 0.0)}
{'epoch': 21, 'train_loss': 0.2877, 'train_acc': 0.76, 'task_loss': (0.2877, 0.0)}
{'epoch': 22, 'train_loss': 0.2498, 'train_acc': 0.81, 'task_loss': (0.2498, 0.0)}
{'epoch': 23, 'train_loss': 0.2497, 'train_acc': 0.82, 'task_loss': (0.2497, 0.0)}
{'epoch': 24, 'train_loss': 0.2308, 'train_acc': 0.81, 'task_loss': (0.2308, 0.0)}
{'epoch': 25, 'train_loss': 0.1509, 'train_acc': 0.91, 'task_loss': (0.1509, 0.0)}
{'epoch': 26, 'train_loss': 0.178, 'train_acc': 0.85, 'task_loss': (0.178, 0.0)}
{'epoch': 27, 'train_loss': 0.1407, 'train_acc': 0.89, 'task_loss': (0.1407, 0.0)}
{'epoch': 28, 'train_loss': 0.1397, 'train_acc': 0.9, 'task_loss': (0.1397, 0.0)}
{'epoch': 29, 'train_loss': 0.1701, 'train_acc': 0.87, 'task_loss': (0.1701, 0.0)}
{'epoch': 30, 'train_loss': 0.1318, 'train_acc': 0.91, 'task_loss': (0.1318, 0.0)}
{'epoch': 31, 'train_loss': 0.1112, 'train_acc': 0.91, 'task_loss': (0.1112, 0.0)}
{'epoch': 32, 'train_loss': 0.1093, 'train_acc': 0.93, 'task_loss': (0.1093, 0.0)}
{'epoch': 33, 'train_loss': 0.1398, 'train_acc': 0.89, 'task_loss': (0.1398, 0.0)}
{'epoch': 34, 'train_loss': 0.0735, 'train_acc': 0.93, 'task_loss': (0.0735, 0.0)}
{'epoch': 35, 'train_loss': 0.1224, 'train_acc': 0.9, 'task_loss': (0.1224, 0.0)}
{'epoch': 36, 'train_loss': 0.1176, 'train_acc': 0.94, 'task_loss': (0.1176, 0.0)}
{'epoch': 37, 'train_loss': 0.1665, 'train_acc': 0.83, 'task_loss': (0.1665, 0.0)}
{'epoch': 38, 'train_loss': 0.1838, 'train_acc': 0.87, 'task_loss': (0.1838, 0.0)}
{'epoch': 39, 'train_loss': 0.1636, 'train_acc': 0.86, 'task_loss': (0.1636, 0.0)}
{'epoch': 40, 'train_loss': 0.1916, 'train_acc': 0.83, 'task_loss': (0.1916, 0.0)}
{'epoch': 41, 'train_loss': 0.1447, 'train_acc': 0.89, 'task_loss': (0.1447, 0.0)}
{'epoch': 42, 'train_loss': 0.2025, 'train_acc': 0.86, 'task_loss': (0.2025, 0.0)}
{'epoch': 43, 'train_loss': 0.136, 'train_acc': 0.85, 'task_loss': (0.136, 0.0)}
{'epoch': 44, 'train_loss': 0.0979, 'train_acc': 0.92, 'task_loss': (0.0979, 0.0)}
{'epoch': 45, 'train_loss': 0.1004, 'train_acc': 0.9, 'task_loss': (0.1004, 0.0)}
{'epoch': 46, 'train_loss': 0.1267, 'train_acc': 0.87, 'task_loss': (0.1267, 0.0)}
{'epoch': 47, 'train_loss': 0.1282, 'train_acc': 0.9, 'task_loss': (0.1282, 0.0)}
{'epoch': 48, 'train_loss': 0.1237, 'train_acc': 0.9, 'task_loss': (0.1237, 0.0)}
{'epoch': 49, 'train_loss': 0.0786, 'train_acc': 0.92, 'task_loss': (0.0786, 0.0)}
{'epoch': 50, 'train_loss': 0.1008, 'train_acc': 0.93, 'task_loss': (0.1008, 0.0)}
{'epoch': 51, 'train_loss': 0.0761, 'train_acc': 0.94, 'task_loss': (0.0761, 0.0)}
{'epoch': 52, 'train_loss': 0.0972, 'train_acc': 0.94, 'task_loss': (0.0972, 0.0)}
{'epoch': 53, 'train_loss': 0.0979, 'train_acc': 0.93, 'task_loss': (0.0979, 0.0)}
{'epoch': 54, 'train_loss': 0.0724, 'train_acc': 0.94, 'task_loss': (0.0724, 0.0)}
{'epoch': 55, 'train_loss': 0.0709, 'train_acc': 0.95, 'task_loss': (0.0709, 0.0)}
{'epoch': 56, 'train_loss': 0.0754, 'train_acc': 0.94, 'task_loss': (0.0754, 0.0)}
{'epoch': 57, 'train_loss': 0.079, 'train_acc': 0.92, 'task_loss': (0.079, 0.0)}
{'epoch': 58, 'train_loss': 0.0947, 'train_acc': 0.94, 'task_loss': (0.0947, 0.0)}
{'epoch': 59, 'train_loss': 0.0697, 'train_acc': 0.97, 'task_loss': (0.0697, 0.0)}
{'epoch': 60, 'train_loss': 0.0838, 'train_acc': 0.94, 'task_loss': (0.0838, 0.0)}
{'epoch': 61, 'train_loss': 0.0905, 'train_acc': 0.93, 'task_loss': (0.0905, 0.0)}
{'epoch': 62, 'train_loss': 0.0601, 'train_acc': 0.97, 'task_loss': (0.0601, 0.0)}
{'epoch': 63, 'train_loss': 0.0702, 'train_acc': 0.94, 'task_loss': (0.0702, 0.0)}
{'epoch': 64, 'train_loss': 0.0538, 'train_acc': 0.96, 'task_loss': (0.0538, 0.0)}
{'epoch': 65, 'train_loss': 0.0441, 'train_acc': 0.98, 'task_loss': (0.0441, 0.0)}
{'epoch': 66, 'train_loss': 0.0948, 'train_acc': 0.93, 'task_loss': (0.0948, 0.0)}
{'epoch': 67, 'train_loss': 0.0529, 'train_acc': 0.95, 'task_loss': (0.0529, 0.0)}
{'epoch': 68, 'train_loss': 0.0536, 'train_acc': 0.97, 'task_loss': (0.0536, 0.0)}
{'epoch': 69, 'train_loss': 0.0869, 'train_acc': 0.93, 'task_loss': (0.0869, 0.0)}
{'epoch': 70, 'train_loss': 0.0573, 'train_acc': 0.95, 'task_loss': (0.0573, 0.0)}
{'epoch': 71, 'train_loss': 0.0562, 'train_acc': 0.96, 'task_loss': (0.0562, 0.0)}
{'epoch': 72, 'train_loss': 0.0617, 'train_acc': 0.96, 'task_loss': (0.0617, 0.0)}
{'epoch': 73, 'train_loss': 0.0557, 'train_acc': 0.97, 'task_loss': (0.0557, 0.0)}
{'epoch': 74, 'train_loss': 0.0833, 'train_acc': 0.94, 'task_loss': (0.0833, 0.0)}
{'epoch': 75, 'train_loss': 0.0621, 'train_acc': 0.97, 'task_loss': (0.0621, 0.0)}
{'epoch': 76, 'train_loss': 0.0595, 'train_acc': 0.96, 'task_loss': (0.0595, 0.0)}
{'epoch': 77, 'train_loss': 0.0381, 'train_acc': 0.99, 'task_loss': (0.0381, 0.0)}
{'epoch': 78, 'train_loss': 0.0436, 'train_acc': 0.99, 'task_loss': (0.0436, 0.0)}
{'epoch': 79, 'train_loss': 0.0729, 'train_acc': 0.94, 'task_loss': (0.0729, 0.0)}
{'epoch': 80, 'train_loss': 0.0704, 'train_acc': 0.95, 'task_loss': (0.0704, 0.0)}
{'epoch': 81, 'train_loss': 0.048, 'train_acc': 0.99, 'task_loss': (0.048, 0.0)}
{'epoch': 82, 'train_loss': 0.0607, 'train_acc': 0.97, 'task_loss': (0.0607, 0.0)}
{'epoch': 83, 'train_loss': 0.0417, 'train_acc': 0.98, 'task_loss': (0.0417, 0.0)}
{'epoch': 84, 'train_loss': 0.0672, 'train_acc': 0.95, 'task_loss': (0.0672, 0.0)}
{'epoch': 85, 'train_loss': 0.0651, 'train_acc': 0.94, 'task_loss': (0.0651, 0.0)}
{'epoch': 86, 'train_loss': 0.0699, 'train_acc': 0.95, 'task_loss': (0.0699, 0.0)}
{'epoch': 87, 'train_loss': 0.0607, 'train_acc': 0.96, 'task_loss': (0.0607, 0.0)}
{'epoch': 88, 'train_loss': 0.0379, 'train_acc': 0.98, 'task_loss': (0.0379, 0.0)}
{'epoch': 89, 'train_loss': 0.0748, 'train_acc': 0.96, 'task_loss': (0.0748, 0.0)}
{'epoch': 90, 'train_loss': 0.0362, 'train_acc': 0.99, 'task_loss': (0.0362, 0.0)}
{'epoch': 91, 'train_loss': 0.0408, 'train_acc': 0.97, 'task_loss': (0.0408, 0.0)}
{'epoch': 92, 'train_loss': 0.044, 'train_acc': 0.98, 'task_loss': (0.044, 0.0)}
{'epoch': 93, 'train_loss': 0.058, 'train_acc': 0.95, 'task_loss': (0.058, 0.0)}
