{'deploy': True, 'tag': '02_beta/task_loss_group', 'seed': 10, 'device': 'cuda:0', 'reps': 10, 'loss': {'α': 0.5, 'tune_α': False, 'group_task_loss': True}, 'task': {'dataset': 'split_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target': 0, 'ood': [4], 'augment': True, 'n': 50, 'm_n': 0, 'β': 0.5, 'custom_sampler': False}, 'hp': {'epochs': 100, 'bs': 16, 'lr': 0.01}, 'net': 'conv'}
Files already downloaded and verified
Files already downloaded and verified
{'epoch': 1, 'train_loss': 0.4061, 'train_acc': 0.5, 'task_loss': (0.4061, 0.0)}
{'epoch': 2, 'train_loss': 0.2693, 'train_acc': 0.76, 'task_loss': (0.2693, 0.0)}
{'epoch': 3, 'train_loss': 0.2435, 'train_acc': 0.76, 'task_loss': (0.2435, 0.0)}
{'epoch': 4, 'train_loss': 0.2054, 'train_acc': 0.8, 'task_loss': (0.2054, 0.0)}
{'epoch': 5, 'train_loss': 0.2378, 'train_acc': 0.83, 'task_loss': (0.2378, 0.0)}
{'epoch': 6, 'train_loss': 0.2173, 'train_acc': 0.85, 'task_loss': (0.2173, 0.0)}
{'epoch': 7, 'train_loss': 0.2002, 'train_acc': 0.84, 'task_loss': (0.2002, 0.0)}
{'epoch': 8, 'train_loss': 0.2263, 'train_acc': 0.81, 'task_loss': (0.2263, 0.0)}
{'epoch': 9, 'train_loss': 0.1816, 'train_acc': 0.84, 'task_loss': (0.1816, 0.0)}
{'epoch': 10, 'train_loss': 0.2177, 'train_acc': 0.81, 'task_loss': (0.2177, 0.0)}
{'epoch': 11, 'train_loss': 0.1207, 'train_acc': 0.91, 'task_loss': (0.1207, 0.0)}
{'epoch': 12, 'train_loss': 0.1326, 'train_acc': 0.89, 'task_loss': (0.1326, 0.0)}
{'epoch': 13, 'train_loss': 0.1304, 'train_acc': 0.92, 'task_loss': (0.1304, 0.0)}
{'epoch': 14, 'train_loss': 0.1186, 'train_acc': 0.89, 'task_loss': (0.1186, 0.0)}
{'epoch': 15, 'train_loss': 0.0943, 'train_acc': 0.92, 'task_loss': (0.0943, 0.0)}
{'epoch': 16, 'train_loss': 0.1401, 'train_acc': 0.85, 'task_loss': (0.1401, 0.0)}
{'epoch': 17, 'train_loss': 0.1457, 'train_acc': 0.87, 'task_loss': (0.1457, 0.0)}
{'epoch': 18, 'train_loss': 0.1207, 'train_acc': 0.9, 'task_loss': (0.1207, 0.0)}
{'epoch': 19, 'train_loss': 0.1733, 'train_acc': 0.85, 'task_loss': (0.1733, 0.0)}
{'epoch': 20, 'train_loss': 0.1887, 'train_acc': 0.83, 'task_loss': (0.1887, 0.0)}
{'epoch': 21, 'train_loss': 0.11, 'train_acc': 0.92, 'task_loss': (0.11, 0.0)}
{'epoch': 22, 'train_loss': 0.0921, 'train_acc': 0.94, 'task_loss': (0.0921, 0.0)}
{'epoch': 23, 'train_loss': 0.1295, 'train_acc': 0.89, 'task_loss': (0.1295, 0.0)}
{'epoch': 24, 'train_loss': 0.1007, 'train_acc': 0.91, 'task_loss': (0.1007, 0.0)}
{'epoch': 25, 'train_loss': 0.0847, 'train_acc': 0.92, 'task_loss': (0.0847, 0.0)}
{'epoch': 26, 'train_loss': 0.0748, 'train_acc': 0.92, 'task_loss': (0.0748, 0.0)}
{'epoch': 27, 'train_loss': 0.0701, 'train_acc': 0.94, 'task_loss': (0.0701, 0.0)}
{'epoch': 28, 'train_loss': 0.0911, 'train_acc': 0.93, 'task_loss': (0.0911, 0.0)}
